date, code, inactive, name, category, category_id, category_url, brand, age_restriction, alcohol, unit_details, price, price_per_unit, price_before_sale, on_sale_until
"2023-03-27", "063209185800", "false", "Classic Lungo Coffee Pods", "Beverages", "000002", "/aisles/beverages/coffee/coffee-pods", "Tim Hortons", "false", "false", "10 cp", "$7.49", "$0.75 /un.", "", ""
"2023-03-27", "063209185824", "false", "Bold Espresso Coffee Pods", "Beverages", "000002", "/aisles/beverages/coffee/coffee-pods", "Tim Hortons", "false", "false", "", "", "", "", ""
"2023-03-27", "060200987907", "false", "Colombian Coffee T Discs", "Beverages", "000002", "/aisles/beverages/coffee/coffee-pods", "Nabob", "false", "false", "14 un", "$11.99", "$0.86 /un.", "", ""
"2023-03-27", "066188050923", "false", "Original Roast Ground Coffee", "Beverages", "000002", "/aisles/beverages/coffee/ground-coffee", "Maxwell House", "false", "false", "925 g", "$16.99", "$1.84 /100g", "", ""
"2023-03-27", "629070500090", "false", "Organic Coffee Beans", "Organic Groceries", "000017", "/aisles/organic-groceries/beverages/organic-coffee-tea", "Kicking Horse", "false", "false", "454 g", "$14.99", "$3.30 /100g", "16.99", "Valid until Apr 5, 2023"
"2023-03-27", "629070500267", "false", "Dark Coffee Beans", "Beverages", "000002", "/aisles/beverages/coffee/whole-bean", "Kicking Horse", "false", "false", "454 g", "$14.99", "$3.30 /100g", "16.99", "Valid until Apr 5, 2023"
"2023-03-27", "629070500120", "false", "Organic Dark Coffee Beans", "Organic Groceries", "000017", "/aisles/organic-groceries/beverages/organic-coffee-tea", "Kicking Horse", "false", "false", "454 g", "$14.99", "$3.30 /100g", "16.99", "Valid until Apr 5, 2023"
"2023-03-27", "066188004698", "false", "Original Roast Instant Coffee", "Beverages", "000002", "/aisles/beverages/coffee/instant-coffee", "Maxwell House", "false", "false", "150 g", "$6.99", "$4.66 /100g", "", ""
"2023-03-27", "629070500298", "false", "Organic Hola Coffee Beans", "Beverages", "000002", "/aisles/beverages/coffee/whole-bean", "Kicking Horse", "false", "false", "454 g", "$14.99", "$3.30 /100g", "16.99", "Valid until Apr 5, 2023"
"2023-03-27", "629070500083", "false", "Organic Three Sisters Coffee Beans", "Beverages", "000002", "/aisles/beverages/coffee/whole-bean", "Kicking Horse", "false", "false", "454 g", "$14.99", "$3.30 /100g", "16.99", "Valid until Apr 5, 2023"
"2023-03-27", "629070500274", "false", "Organic Smart Ass Coffee Beans", "Beverages", "000002", "/aisles/beverages/coffee/whole-bean", "Kicking Horse", "false", "false", "454 g", "$14.99", "$3.30 /100g", "16.99", "Valid until Apr 5, 2023"
"2023-03-27", "629070500199", "false", "Organic Pacific Pipeline Coffee Beans", "Beverages", "000002", "/aisles/beverages/coffee/whole-bean", "Kicking Horse", "false", "false", "454 g", "$14.99", "$3.30 /100g", "16.99", "Valid until Apr 5, 2023"
"2023-03-27", "629070500175", "false", "Organic Hoodoo Jo Coffee Beans", "Beverages", "000002", "/aisles/beverages/coffee/whole-bean", "Kicking Horse", "false", "false", "454 g", "$14.99", "$3.30 /100g", "16.99", "Valid until Apr 5, 2023"
"2023-03-27", "629070500151", "false", "Organic 454 Horse Power Coffee Beans", "Beverages", "000002", "/aisles/beverages/coffee/whole-bean", "Kicking Horse", "false", "false", "454 g", "$14.99", "$3.30 /100g", "16.99", "Valid until Apr 5, 2023"
"2023-03-27", "629070500045", "false", "Organic Cliff Hanger Espresso Coffee Beans", "Beverages", "000002", "/aisles/beverages/coffee/whole-bean", "Kicking Horse", "false", "false", "454 g", "$14.99", "$3.30 /100g", "16.99", "Valid until Apr 5, 2023"
"2023-03-27", "762111300096", "false", "Roasted and Sweet Italian Roast Ground Coffee", "Beverages", "000002", "/aisles/beverages/coffee/ground-coffee", "Starbucks", "false", "false", "340 g", "$12.99", "$3.82 /100g", "", ""
"2023-03-27", "041953036159", "false", "Ground Coffee", "Beverages", "000002", "/aisles/beverages/coffee/ground-coffee", "Lavazza", "false", "false", "250 g", "$5.99", "$2.40 /100g", "", ""
"2023-03-27", "041953038351", "false", "Ground Coffee", "Beverages", "000002", "/aisles/beverages/coffee/ground-coffee", "Lavazza", "false", "false", "250 g", "$5.99", "$2.40 /100g", "", ""
"2023-03-27", "041953036890", "false", "Coffee Beans", "Beverages", "000002", "/aisles/beverages/coffee/whole-bean", "Lavazza", "false", "false", "1 kg", "$22.99", "$2.30 /100g", "", ""
"2023-03-27", "041953075080", "false", "Ground Coffee", "Beverages", "000002", "/aisles/beverages/coffee/ground-coffee", "Lavazza", "false", "false", "340 g", "$10.49", "$3.09 /100g", "11.99", "Valid until Apr 5, 2023"
"2023-03-27", "041953024996", "false", "Coffee Beans", "Beverages", "000002", "/aisles/beverages/coffee/whole-bean", "Lavazza", "false", "false", "1000 g", "$28.99", "$2.90 /100g", "", ""
"2023-03-27", "055437607872", "false", "Coffee Beans", "Beverages", "000002", "/aisles/beverages/coffee/whole-bean", "Melitta", "false", "false", "907 g", "$21.49", "$2.37 /100g", "23.99", "Valid until Apr 5, 2023"
"2023-03-27", "762111898500", "false", "Dark Roast Caffè Verona® Ground Coffee", "Beverages", "000002", "/aisles/beverages/coffee/ground-coffee", "Starbucks", "false", "false", "340 g", "$12.99", "$3.82 /100g", "", ""
"2023-03-27", "762111936271", "false", "Caffè Verona® K-Cup® Coffee Pods", "Beverages", "000002", "/aisles/beverages/coffee/coffee-pods", "Starbucks", "false", "false", "10 un", "$12.99", "$1.30 /un.", "", ""
"2023-03-27", "055000382274", "false", "Colombian Coffee K-Cups® Origins® Coffee Pods", "Beverages", "000002", "/aisles/beverages/coffee/coffee-pods", "Nescafé", "false", "false", "30 un", "$19.99", "$0.67 /un.", "", ""
"2023-03-27", "011141103116", "false", "Original Coffee Beans", "Beverages", "000002", "/aisles/beverages/coffee/whole-bean", "Eight O'Clock", "false", "false", "1 kg", "$18.99", "$1.90 /100g", "25.99", "Valid until Mar 29, 2023"
"2023-03-27", "779921572001", "false", "Espresso Coffee Beans", "Beverages", "000002", "/aisles/beverages/coffee/whole-bean", "Caffè Gioia", "false", "false", "1 kg", "$16.99", "$1.70 /100g", "", ""
"2023-03-27", "063209185800", "false", "Classic Lungo Coffee Pods", "Beverages", "000002", "/aisles/beverages/coffee/coffee-pods", "Tim Hortons", "false", "false", "10 cp", "$7.49", "$0.75 /un.", "", ""
"2023-03-27", "063209185824", "false", "Bold Espresso Coffee Pods", "Beverages", "000002", "/aisles/beverages/coffee/coffee-pods", "Tim Hortons", "false", "false", "", "", "", "", ""
"2023-03-27", "8001800012776", "false", "Cortina Coffee Beans", "Beverages", "000002", "/aisles/beverages/coffee/whole-bean", "Caffe Vergnano", "false", "false", "500 g", "$13.99", "$2.80 /100g", "", ""
"2023-03-27", "036632072962", "false", "Unsweetened Brewed Dark Coffee Beverage", "Beverages", "000002", "/aisles/beverages/iced-tea-coffee/iced-coffee", "Stōk", "false", "false", "1.42 L", "$8.99", "$0.63 /100ml", "", ""
"2023-03-27", "8001800012790", "false", "Amalfi Coffee Beans", "Beverages", "000002", "/aisles/beverages/coffee/ground-coffee", "Caffe Vergnano", "false", "false", "500 g", "$13.99", "$2.80 /100g", "", ""
"2023-03-27", "8001800000094", "false", "Granaroma Coffee Beans", "Beverages", "000002", "/aisles/beverages/coffee/whole-bean", "Caffe Vergnano", "false", "false", "1000 g", "$19.99", "$2.00 /100g", "", ""
"2023-03-27", "8001800001961", "false", "Granaroma Ground Coffee", "Beverages", "000002", "/aisles/beverages/coffee/ground-coffee", "Caffe Vergnano", "false", "false", "250 g", "$5.99", "$2.40 /100g", "", ""
"2023-03-27", "066188003929", "false", "Original Roast Coffee Compostable Pods", "Beverages", "000002", "/aisles/beverages/coffee/coffee-pods", "Maxwell House", "false", "false", "12 un", "$6.99", "$0.58 /un.", "9.99", "Valid until Mar 29, 2023"
"2023-03-27", "055437604864", "false", "Traditional Ground Coffee", "Beverages", "000002", "/aisles/beverages/coffee/ground-coffee", "Melitta", "false", "false", "930 g", "$21.99", "$2.36 /100g", "24.99", "Valid until Apr 5, 2023"
"2023-03-27", "063209083922", "false", "Decaf Ground Coffee", "Beverages", "000002", "/aisles/beverages/coffee/ground-coffee", "Tim Hortons", "false", "false", "300 g", "$10.99", "$3.66 /100g", "", ""
"2023-03-27", "066188090400", "false", "Coffee T Discs", "Beverages", "000002", "/aisles/beverages/coffee/coffee-pods", "Tim Hortons", "false", "false", "14 un", "$11.99", "$0.86 /un.", "", ""
