date, name, size, price_per_unit, price, details_page, kosher, local, organic, peanut_free, lactose_free, vegan, vegetarian, sku
"2023-03-27", "Maxwell House Ground Coffee Original Roast 925 g", "925g", "($1.40 per 100g)", "$12.99", "https://voila.ca/products/176916EA/details", "True", "False", "False", "False", "False", "False", "False", "176916EA"
"2023-03-27", "Balzac's Fairtrade Organic Farmers Blend Coffee Whole Bean 340 g", "340g", "($4.41 per 100g)", "$14.99", "https://voila.ca/products/708326EA/details", "False", "True", "True", "False", "False", "False", "False", "708326EA"
"2023-03-27", "Starbucks Ground Coffee True North Blend 340 g", "340g", "($3.23 per 100g)", "$10.99", "https://voila.ca/products/299508EA/details", "False", "False", "False", "False", "False", "False", "False", "299508EA"
"2023-03-27", "Compliments No 4 Cone Coffee Filters 150 EA", "150 per pack", "($0.03 per item)", "$4.69", "https://voila.ca/products/231866EA/details", "False", "False", "False", "False", "False", "False", "False", "231866EA"
"2023-03-27", "Silk Almond Coffee Creamer Vanilla 890 ml", "890ml", "($0.62 per 100ml)", "$5.49", "https://voila.ca/products/501945EA/details", "True", "False", "False", "True", "True", "True", "True", "501945EA"
"2023-03-27", "Tim Hortons Ground Coffee Fine Grind Original Blend 930 g", "930g", "($2.74 per 100g)", "$25.49", "https://voila.ca/products/280087EA/details", "False", "False", "False", "False", "False", "False", "False", "280087EA"
"2023-03-27", "Starbucks Ground Coffee Pike Place Roast 793 g", "793g", "($2.84 per 100g)", "$22.49", "https://voila.ca/products/952434EA/details", "False", "False", "False", "False", "False", "False", "False", "952434EA"
"2023-03-27", "Kicking Horse Organic Ground Coffee Three Sisters Medium Roast 284 g", "284g", "($4.93 per 100g)", "$13.99", "https://voila.ca/products/393235EA/details", "False", "False", "True", "False", "False", "False", "False", "393235EA"
"2023-03-27", "Muskoka Roastery Coffee Co Handcrafted Ground Coffee Loon Call Breakfast Blend 454 g", "454g", "($3.74 per 100g)", "$16.99", "https://voila.ca/products/323407EA/details", "False", "False", "False", "False", "False", "False", "False", "323407EA"
"2023-03-27", "Starbucks Ground Coffee True North Blend 793 g", "793g", "($2.84 per 100g)", "$22.49", "https://voila.ca/products/952431EA/details", "False", "False", "False", "False", "False", "False", "False", "952431EA"
